UF;Municipio;CEP
SC;OTACILIO COSTA;88540000
PR;TOMAZINA;84935000
PR;LOANDA;87900000
SP;PARIQUERA-ACU;11930000
PE;TABIRA;56780000
MG;ITAPECERICA;35550000
RJ;ARRAIAL DO CABO;28930000
SP;PINHALZINHO;12995000
RJ;PINHEIRAL;27197000
SC;NAVEGANTES;88370354
RS;ROQUE GONZALES;97970000
DF;GAMA;72445020
SP;SANTA ADELIA;15950000
RS;IPE;95240000
MG;PECANHA;39700000
RS;MINAS DO LEAO;96755000
PR;PORTO CAMARGO;87532000
SP;CERQUEIRA CESAR;18760000
RJ;IGUABA GRANDE;28960000
MG;DELTA;38108000
SP;AVANHANDAVA;16360000
RN;UPANEMA;59670000
BA;ITABELA;45848000
RS;PORTO XAVIER;98995000
MG;ARCOS;35588000
SC;FORMOSA DO SUL;89859000
PR;CIDADE GAUCHA;87820000
MG;ALTO JEQUITIBA;36976000
RS;ARATIBA;99770000
BA;RIO REAL;48330000
PA;ABAETETUBA;68440000
RJ;PAPUCAIA;28695000
ES;JAGUARE;29950000
MG;ITATIAIUCU;35685000
SP;BONFIM PAULISTA;14110000
RJ;CONCEICAO DE MACABU;28740000
AL;FEIRA GRANDE;57340000
SP;DIVINOLANDIA;13780000
PR;NOVA PRATA DO IGUACU;85685000
PI;MONTE ALEGRE DO PIAUI;64940000
SP;PINDORAMA;15830000
PI;DEMERVAL LOBAO;64390000
SC;RIO NEGRINHO;89295000
PR;GUARAUNA;84534000
SP;GUAREI;18250000
ES;IUNA;29390000
MT;COLIDER;78500000
SP;CAJATI;11950000
SP;DUARTINA;17470000
SP;CANDIDO MOTA;19880000
MT;ARENAPOLIS;78420000
MG;CORACAO DE JESUS;39340000
SP;RIOLANDIA;15495000
SP;JOAQUIM EGIDIO;13108024
RS;BOM JESUS;95290000
PR;GENERAL CARNEIRO;84660000
SP;PIRAJUI;16600000
MG;UBAPORANGA;35338000
PR;SIQUEIRA CAMPOS;84940000
SC;PORTO BELO;88210000
RS;ITAQUI;97650000
RS;SAO SEBASTIAO DO CAI;95760000
MS;GLORIA DE DOURADOS;79730000
SC;JACINTO MACHADO;88950000
BA;MACAUBAS;46500000
MG;SAO JOSE DO ACACIO;35133000
MG;OURO PRETO;35400000
RS;ANTA GORDA;95980000
RJ;CONCEICAO DE JACAREI;23885000
MA;LIMA CAMPOS;65728000
PA;CAPANEMA;68701060
BA;MUCUGE;46750000
PB;COELHO NETO;65620000
SP;BRAUNA;16290000
BA;JEQUIE;45211352
SP;MONTE APRAZIVEL;15150000
PE;SAO JOSE DO BELMONTE;56950000
PE;SAO BENTO DO UNA;55370000
BA;MAIRI;44630000
PR;NOVA ESPERANCA DO SUDOESTE;85635000
RS;ROLANTE;95690000
PI;SANTO ANTONIO DE LISBOA;64640000
SP;BARRINHA;14860000
SC;CAMBORIU;88343433
PR;PIRAQUARA;83301049
ES;FUNDAO;29185000
PR;CHOPINZINHO;85560000
BA;SEABRA;46900000
PR;ALTO PARANA;87750000
PE;CUSTODIA;56640000
PE;CAMARAGIBE;54762076
PB;VARZEA NOVA;58304500
SC;SANTA CECILIA;89540000
MG;MONTALVANIA;39495000
RS;SERTAO;99170000
SC;JAGUARUNA;88715000
SP;MONTE ALEGRE DO SUL;13820000
SC;TAIO;89190000
SC;BOMBINHAS;88215000
SC;WITMARSUM;89157000
SC;AGUA DOCE;89654000
MG;DIVINOLANDIA DE MINAS;39735000
RS;TRES CACHOEIRAS;95580000
SP;ITIRAPUA;14420000
SP;CACONDE;13770000
AL;FLEXEIRAS;57995000
MG;RIO NOVO;36150000
BA;XIQUE-XIQUE;47400000
BA;BAIANOPOLIS;47830000
BA;MARAGOGIPE;44420000
MG;SANTA EFIGENIA DE MINAS;39725000
PE;SANTA CRUZ DO CAPIBARIBE;55194315
SC;ITUPORANGA;88400000
GO;ALOANDIA;75615000
SP;ALAMBARI;18220000
MG;SERICITA;35368000
MG;PEQUI;35667000
BA;IBICARAI;45745000
RS;ARROIO DO SAL;95585000
PR;ALMIRANTE TAMANDARE;83506000
MG;CAXAMBU;37440000
RJ;SAO FRANCISCO DE ITABAPOANA;28230000
SP;JABORANDI;14775000
SP;SUD MENNUCCI;15360000
PR;CERRO AZUL;83570000
SP;SANTA ISABEL;07500000
GO;CAVALCANTE;73790000
MG;PARAGUACU;37120000
SP;PARAGUACU PAULISTA;19700000
ES;VENDA NOVA DO IMIGRANTE;29375000
MG;SANTO ANTONIO DOS CAMPOS;35505000
MG;CATUJI;39816000
RJ;SAO JOAO DA BARRA;28200000
MG;ALFREDO VASCONCELOS;36272000
SP;MARABA PAULISTA;19430000
SP;CLEMENTINA;16250000
MG;CHAPADA DO NORTE;39648000
PR;DOUTOR CAMARGO;87155000
MG;BRUMADO;46100000
MG;MONTE ALEGRE DE MINAS;38475000
MG;PADRE PARAISO;39818000
RS;SALTO DO JACUI;99440000
ES;ARACE;29278000
GO;GOIATUBA;75600000
PR;CALIFORNIA;86820000
RS;CAMPOS BORGES;99435000
MG;SAO GOTARDO;38800000
PE;TORITAMA;55125000
MS;RIBAS DO RIO PARDO;79180000
MT;VERA;78880000
MG;SAO JOAO DO PARAISO;39540000
SP;ALUMINIO;18125000
SP;MARTINOPOLIS;19500000
SC;POUSO REDONDO;89172000
BA;BARRA DA ESTIVA;46650000
RS;ARROIO GRANDE;96330000
SC;PAULO LOPES;88490000
MG;FRUTAL;38200000
SC;ICARA;88820000
SP;SAO LOURENCO DA SERRA;06890000
RS;AGUDO;96540000
SP;SEBASTIANOPOLIS DO SUL;15180000
MG;VIRGOLANDIA;39715000
GO;PLANALTINA;73751020
SP;JARINU;13240000
SP;TEODORO SAMPAIO;19280000
MG;TRES MARIAS;39205000
SP;SAO BENTO DO SAPUCAI;12490000
PR;JAGUARIAIVA;84200000
RS;SALVADOR DAS MISSOES;97940000
RS;TENENTE PORTELA;98500000
MA;SAO JOSE DE RIBAMAR;65110000
MT;SAO FELIX DO ARAGUAIA;78670000
PR;MEDIANEIRA;85884000
RS;CAMAQUA;96180000
MG;CAPELINHA;39680000
AL;RIO LARGO;57100000
MG;GALILEIA;35250000
SP;IBITIARA;46700000
SP;EMBU-GUACU;06900000
MT;BARRA DO BUGRES;78390000
MG;IBITIURA DE MINAS;37790000
SP;EMBAUBA;15425000
RS;BARRA FUNDA;99585000
GO;JUSSARA;76270000
RS;ELDORADO DO SUL;92990000
BA;PLANALTO;45190000
SP;SAO JOAO DO PAU D'ALHO;17970000
SP;OSVALDO CRUZ;17700000
SP;RIBEIRAO BRANCO;18430000
RS;IBIRUBA;98200000
SC;NOVA TRENTO;88270000
PE;TUPANATINGA;56540000
AM;MANAUS;69079210
MG;SAO JOSE DA SAFIRA;39785000
MT;AGUA BOA;78635000
GO;MINACU;76450000
RJ;CASIMIRO DE ABREU;28860000
PE;TACAIMBO;55140000
RJ;CORDEIRO;28540000
RJ;MIRACEMA;28460000
CE;CANINDE;62700000
RS;IVOTI;93900000
BA;CORACAO DE MARIA;44250000
RJ;BARAO DE JUPARANA;27640000
GO;SAO LUIS DE MONTES BELOS;76100000
SC;MERCEDES;85998000
SC;URUSSANGA;88840000
MT;ALTA FLORESTA;78580000
RR;SAO LUIZ;69370000
MG;JORDANIA;39920000
SP;MORRO AGUDO;14640000
MG;PAPAGAIOS;35669000
MG;LAJINHA;36980000
SC;HERVAL D'OESTE;89610000
PR;BOM SUCESSO DO SUL;85515000
SP;TUIUTI;12930000
SP;VALENTIM GENTIL;15520000
PR;COXIM;79400000
PE;MORENO;54800000
MA;BALSAS;65800000
SP;BOREBI;18675000
RS;FORMIGUEIRO;97210000
PI;ITAINOPOLIS;64565000
MT;QUERENCIA;78643000
CE;CRATEUS;63700000
MG;SANTA CRUZ DE MINAS;36328000
BA;CASTRO ALVES;44500000
SC;QUILOMBO;89850000
PR;JOAQUIM TAVORA;86455000
RS;ESTRELA;95880000
SP;FLOREAL;15320000
PR;COSTA MARQUES;76937000
SP;DOIS CORREGOS;17300000
SP;GENERAL SALGADO;15300000
AL;CACIMBINHAS;57570000
RS;TUPARENDI;98940000
RS;GAURAMA;99830000
MG;TUPACIGUARA;38480000
SP;TARABAI;19210000
RS;SERAFINA CORREA;99250000
MG;LEOPOLDINA;36700000
PR;PARAISO DO NORTE;87780000
PA;MARABA;68501120
SP;QUATA;19780000
SP;PORANGABA;18260000
PR;ARARUNA;87260000
MG;PRATAPOLIS;37970000
CE;MAURITI;63210000
SP;SANTA GERTRUDES;13510000
BA;MUCURI;45930000
PR;NOVA FATIMA;86310000
PR;SANTA MARIANA;86350000
MG;SAO JOSE DA LAPA;33350000
MG;SANTA RITA DO SAPUCAI;37540000
ES;APIACA;29450000
RJ;NOSSA SENHORA DA APARECIDA;25886000
PE;BODOCO;56220000
PE;BREJAO;55325000
BA;ITAPETINGA;45700000
RR;BOA VISTA;69313440
SP;GUARAREMA;08900000
SC;VIDAL RAMOS;88443000
PE;SALGUEIRO;56000000
SC;SEARA;89770000
RJ;RETIRO DO MURIAE;28330000
MG;FRONTEIRA;38230000
MG;JURUAIA;37805000
CE;AQUIRAZ;61700000
MG;TUMIRITINGA;35125000
SP;SALES OLIVEIRA;14660000
SC;PARAISO;89906000
RO;JI-PARANA;76901009
GO;MOSSAMEDES;76150000
CE;ICO;63430000
ES;JERONIMO MONTEIRO;29550000
RS;GUAPORE;99200000
PR;JABOTI;84930000
RS;CARAA;95515000
RJ;PATY DO ALFERES;26950000
MG;MARIA DA FE;37517000
PR;GUAPIRAMA;86465000
SC;CAMPO ERE;89980000
RS;AGUAS CLARAS;94760000
RN;SERRA DE SAO BENTO;59214000
SP;ITUVERAVA;14500000
SP;PEREIRAS;18580000
MA;BREJO;65520000
PR;CARAMBEI;84145000
SP;IEPE;19640000
RS;MONTAURI;99255000
SC;TREZE DE MAIO;88710000
RJ;SANTO ANTONIO DE PADUA;28470000
GO;RIO QUENTE;75695000
MG;IPOEMA;35905000
SP;CANDIDO RODRIGUES;15930000
SC;ITA;89760000
SE;JAPARATUBA;49960000
PR;IPORA;87560000
MG;DIVINESIA;36546000
CE;IRACEMA;62980000
RS;SAO FRANCISCO DE ASSIS;97610000
MG;CAMBUI;37600000
RS;CHUI;96255000
MT;BARRA DO GARCAS;78600000
MG;SAO JOSE DO ALEGRE;37510000
MG;PASSA TEMPO;35537000
SP;NOVO HORIZONTE;14960000
PR;QUEDAS DO IGUACU;85460000
RS;PAVERAMA;95865000
MG;JACUTINGA;37590000
MG;INGAI;37215000
MG;BOM JARDIM DE MINAS;37310000
CE;SOBRAL;62030100
SC;AGUAS MORNAS;88150000
RJ;VARGEM ALEGRE;27155000
SP;JUNQUEIROPOLIS;17890000
GO;ITARUMA;75810000
MG;ITUTINGA;36390000
SC;TURVO;88930000
MG;PARAOPEBA;35774000
MG;JEQUITINHONHA;39960000
SP;PRESIDENTE EPITACIO;19470000
BA;ITACARE;45530000
SP;GALIA;17450000
SP;ELIAS FAUSTO;13350000
PI;ALAGOINHA DO PIAUI;64655000
MG;POCRANE;36960000
RS;LAGOA VERMELHA;95300000
ES;JOAO NEIVA;29680000
SP;ITANHANDU;37464000
SC;SAO JOAO BATISTA;88240000
MG;ITANHOMI;35120000
RJ;GUAPIMIRIM;25948500
MG;BRASILANDIA DE MINAS;38779000
SC;BANDEIRANTE;89905000
MG;SAO MIGUEL DO ANTA;36590000
MG;TOCANTINS;36512000
RS;XANGRI-LA;95588000
MA;PEDREIRAS;65725000
TO;PARAISO DO TOCANTINS;77600000
PA;CASTANHAL;68745310
ES;RIO BANANAL;29920000
PR;SAO MATEUS DO SUL;83900000
MG;URUCUIA;39315000
RS;OSORIO;95520000
MG;SAO JOAO NEPOMUCENO;36680000
PR;ARAPOTI;84990000
RS;BUTIA;96750000
MG;CACHOEIRA DE MINAS;37545000
SP;ITARIRI;11760000
BA;ENTRE RIOS;48180000
CE;CAMOCIM;62400000
MA;ITINGA DO MARANHAO;65939000
SC;SIDEROPOLIS;88886000
MG;CARMO DA MATA;35547000
BA;CANAVIEIRAS;45860000
PE;SURUBIM;55750000
RS;CORONEL BARROS;98735000
MG;LARANJAL;36760000
SP;BURITAMA;15290000
MG;PRATINHA;38960000
SP;RINCAO;14830000
RS;PARECI NOVO;95783000
SC;CORUPA;89278000
SP;IGARACU DO TIETE;17350000
MG;CARAI;39810000
RS;SANTO AUGUSTO;98590000
MA;BACABAL;65700000
SP;PEREIRA BARRETO;15370000
MG;CRUZILIA;37445000
CE;BREJO SANTO;63260000
BA;MACAJUBA;46805000
MG;PEDRO TEIXEIRA;36148000
PA;GOIANESIA DO PARA;68639000
PI;CRISTINO CASTRO;64920000
PI;GUADALUPE;64840000
BA;TAPEROA;45430000
RO;CACOAL;76964122
MG;NANUQUE;39860000
PR;SANTA HELENA;85892000
MG;JESUANIA;37485000
MG;FLORESTAL;35690000
PR;CORBELIA;85420000
MG;PATIS;39378000
BA;ITABERABA;46880000
MG;CUPARAQUE;35246000
SP;FRUTAL DO CAMPO;19885000
PR;LARANJEIRAS DO SUL;85304320
MG;PAINS;35582000
PR;CAFEZAL DO SUL;87565000
BA;PILAO ARCADO;47240000
ES;MUQUI;29480000
MG;CONCEICAO DA APARECIDA;37148000
SP;ENGENHEIRO COELHO;13165000
PR;DOURADINA;87485000
TO;SILVANOPOLIS;77580000
SP;ANGATUBA;18240000
RJ;ARROZAL;27185000
SP;MURUTINGA DO SUL;16950000
MG;ITACARAMBI;39470000
SP;QUINTANA;17670000
PR;SAO JOAO DO TRIUNFO;84150000
MG;GUARDA-MOR;38570000
PR;MAMBORE;87340000
SP;CANDIA;14185000
SP;JUQUIA;11800000
SP;MONTE AZUL PAULISTA;14730000
SP;SAPUCAI-MIRIM;37690000
RO;NOVA MAMORE;76857000
MG;SAO GONCALO DO PARA;35544000
SP;ESTRELA DO NORTE;19230000
RS;VALE VERDE;95833000
RS;DOIS LAJEADOS;99220000
RJ;QUATIS;27420280
MG;CARVALHOPOLIS;37760000
MG;ITAOBIM;39625000
MG;PERDIGAO;35545000
MT;SAO JOSE DO RIO CLARO;78435000
MG;JOANESIA;35194000
GO;PARAUNA;75980000
MG;JEQUITAI;39370000
RS;PINHAL;98345000
BA;MUNIZ FERREIRA;44575000
CE;BEBERIBE;62840000
SP;CACHOEIRA PAULISTA;12630000
PI;SAO GONCALO DO PIAUI;64435000
RS;TRINDADE DO SUL;99615000
RS;ESTEIO;93260141
PR;ITAMBARACA;86375000
MG;TIRADENTES;36325000
SP;GLICERIO;16270000
PR;FAZENDA RIO GRANDE;83820001
PB;REMIGIO;58398000
MG;SANTO ANTONIO DO JACINTO;39935000
RN;GROSSOS;59675000
SC;ILHOTA;88320000
GO;GOIANIRA;75370000
GO;CASTELANDIA;75925000
SC;SAO JOAQUIM;88600000
ES;ECOPORANGA;29859000
SC;PENHA;88385000
RJ;NATIVIDADE;28380000
RJ;VILA MURIQUI;23870000
RS;VENANCIO AIRES;95800000
PR;CENTENARIO DO SUL;86630000
RS;CAMPINA DAS MISSOES;98975000
SC;SANTA ROSA DO SUL;88965000
BA;SAO DOMINGOS;48895000
PR;IBAITI;84900000
PR;CEU AZUL;85840000
SP;INDIANA;19560000
BA;POCOES;45260000
BA;CENTRAL;44940000
MG;ITURAMA;38280000
AP;MACAPA;68903419
CE;CARIUS;63530000
PR;TERRA BOA;87240000
MG;CLAUDIO;35530000
SP;SANTO ANTONIO DO PINHAL;12450000
RS;HULHA NEGRA;96460000
PR;GUARATUBA;83280000
PE;TIMBAUBA;55870000
PE;BETANIA;56670000
MG;ITAU DE MINAS;37975000
GO;VALPARAISO DE GOIAS;72876420
RS;LINDOLFO COLLOR;93940000
ES;MARILANDIA;29725000
PA;SAO FELIX DO XINGU;68380000
PR;CAMBARA;86390000
GO;PALMEIRAS DE GOIAS;76190000
RS;VILA MARIA;99155000
CE;IGUATU;63504212
SC;GUARACIABA;89920000
RO;JARU;76890000
SC;IMBITUBA;88780000
SC;GRAVATAL;88735000
MG;RIO PARANAIBA;38810000
RS;REDENTORA;98550000
MG;BELA VISTA DE MINAS;35938000
GO;URUACU;76400000
MG;BUENOPOLIS;39230000
SP;SANTO EXPEDITO;19190000
RO;PIMENTA BUENO;76970000
SC;PASSOS MAIA;89687000
MG;IPANEMA;36950000
MG;DORES DE CAMPOS;36213000
RS;CACAPAVA DO SUL;96570000
RS;SANTO ANTONIO DA PATRULHA;95500000
PR;JANDAIA DO SUL;86900000
RJ;AVELAR;26980000
BA;MONTE SANTO;48800000
PE;PAUDALHO;55825000
PE;RIBEIRAO;55520000
BA;UBAIRA;45310000
MG;BERILO;39640000
RJ;SAO FIDELIS;28400000
RS;BOQUEIRAO DO LEAO;95920000
MG;JAIBA;39508000
RS;CRUZ ALTA;98005150
SP;ARIRANHA;15960000
AL;CANAPI;57530000
CE;MARACANAU;61905070
MG;PASSA QUATRO;37460000
PR;QUATRO BARRAS;83420000
PR;CRUZ MACHADO;84620000
MG;COMERCINHO;39628000
CE;NOVA RUSSAS;62200000
SP;LAVINIA;16850000
SP;LINDOIA;13950000
MG;PIRANGUINHO;37508000
ES;ICONHA;29280000
PR;TERRA ROXA;85990000
MT;PARANAITA;78590000
SC;PAPANDUVA;89370000
SP;APIAI;18320000
GO;SERRANOPOLIS;75820000
SP;CEDRAL;15895000
RN;PAU DOS FERROS;59900000
SP;JACUPIRANGA;11940000
SP;PARANAPANEMA;18720000
MG;ITAMBACURI;39830000
MG;MONTE BELO;37115000
MG;LAGAMAR;38785000
MS;BATAIPORA;79760000
SC;ANTONIO CARLOS;88180000
RS;TAVARES;96290000
RS;IRAI;98460000
SP;CAFELANDIA;16500000
MG;ARAPORA;38465000
RS;DOM FELICIANO;96190000
SP;ITIRAPINA;13530000
RJ;ITALVA;28250000
BA;CAPIM GROSSO;44695000
BA;COCOS;47680000
PR;NOVA SANTA ROSA;85930000
PR;MANGUEIRINHA;85540000
SC;CAMPO ALEGRE;89294000
MG;SABINOPOLIS;39750000
MG;PORTEIRINHA;39520000
MG;ARICANDUVA;39678000
MG;SAO JOSE DO MANTIMENTO;36990000
SP;SANTA BRANCA;12380000
SP;PALMARES PAULISTA;15828000
